"key","value"
"darwinian_summary::% of our EcM genera absent from MycoCosm","67.7"
"darwinian_summary::% of our EcM genera with genome data","32.3"
"darwinian_summary::% of our EcM species absent from MycoCosm","95.2"
"darwinian_summary::% of our EcM species with genome data","4.8"
"darwinian_summary::EcM genera absent from MycoCosm","84"
"darwinian_summary::EcM genera in our Canadian dataset","124"
"darwinian_summary::EcM genera with genome data in MycoCosm","40"
"darwinian_summary::EcM species (UNITE, named) in our Canadian dataset","1405"
"darwinian_summary::EcM species absent from MycoCosm","1338"
"darwinian_summary::EcM species with genome data in MycoCosm","67"
"darwinian_summary::MycoCosm fungal records (total)","3261"
"darwinian_summary::MycoCosm records matching our EcM genera","186"
"eltonian_host_raster_summary::Cells with EcM host habitat and >=1 sequence record","6810"
"eltonian_host_raster_summary::Cells with EcM host habitat but no sequence records","231"
"eltonian_host_raster_summary::Grid cells (0.5°) with EcM host habitat","7041"
"eltonian_host_raster_summary::Max proportion of host spp. with sequence data (per cell)","1"
"eltonian_host_raster_summary::Mean proportion of host spp. with sequence data (per cell)","0.146"
"eltonian_host_raster_summary::Median proportion of host spp. with sequence data (per cell)","0.143"
"eltonian_summary::% of Canadian EcM host species with any documented fungal association in Canada (paired with fungal genus)","10.3"
"eltonian_summary::% of Canadian EcM host species with any documented fungal association in Canada (paired with fungal SH code)","10.3"
"eltonian_summary::% of Canadian host species with any global GlobalFungi root record","9.9"
"eltonian_summary::% of full host x named-species matrix cells empty","99.807"
"eltonian_summary::% of full host x named-species matrix cells filled","0.193"
"eltonian_summary::% of full host-genus x fungal-genus matrix cells empty","96.51"
"eltonian_summary::% of full host-genus x fungal-genus matrix cells filled","3.49"
"eltonian_summary::% of observed host x named-species pairs supported by exactly 1 occurrence","52.6"
"eltonian_summary::% of observed host-genus x fungal-genus pairs supported by exactly 1 occurrence","28.1"
"eltonian_summary::% of potential host x EcM-genus interaction pairs observed (Canadian scope)","1.01"
"eltonian_summary::Canadian EcM fungal genera with >= 1 documented host species in Canada","71"
"eltonian_summary::Canadian EcM host genera (denominator: BIEN-based native list)","60"
"eltonian_summary::Canadian EcM host plant species (denominator: BIEN-based native list)","272"
"eltonian_summary::Canadian EcM SH codes with >= 1 documented host species in Canada","643"
"eltonian_summary::Canadian EcM species with documented global host associations (GlobalFungi root samples)","459"
"eltonian_summary::Canadian host species recorded as hosts in GenBank EcM records anywhere in the world","64"
"eltonian_summary::Canadian host species recorded as hosts in GlobalFungi root samples anywhere in the world","27"
"eltonian_summary::Canadian host species with >= 1 observed EcM-fungus association in Canada (paired with fungal genus)","28"
"eltonian_summary::Canadian host species with >= 1 observed EcM-fungus association in Canada (paired with fungal SH code)","28"
"eltonian_summary::Canadian host species with documented global EcM-species associations (GlobalFungi root samples)","25"
"eltonian_summary::EcM fungal genera detected anywhere in the Canadian dataset (full genus-matrix column denominator)","124"
"eltonian_summary::Empty cells in full host x named-species matrix (no observed pair)","381421"
"eltonian_summary::Empty cells in full host-genus x fungal-genus matrix (no observed pair)","7180"
"eltonian_summary::Filled cells in full host x named-species matrix (observed host-species x fungal-species pairs)","739"
